,recipe_id,ingredient_name,ingredient_amount,ingredient_unit,ingredient_remainder
12,38,garlic chives,4,,(2 cut into 1-inch pieces)
13,38,dried Thai chiles,0.5,tsp.,"(ground, divided)"
14,38,unsalted peanuts,2,Tbsp.,"(crushed roasted, divided)"
15,38,lime wedges,2,,
0,39,flat rice sticks,120,grams,(wide)
1,39,fish sauce,60,mL,
2,39,tamarind water,60,mL,"(you can use tamarind concentrate, thinned with a little water)"
3,39,palm sugar,60,grams,
4,39,chilli powder,1,pinch,(to taste)
5,39,groundnut oil,80,mL,
6,39,garlic,2,cloves,(finely chopped)
7,39,extra firm tofu,100,grams,(chopped into small cubes)
8,39,prawns,8,,(large)
9,39,large eggs,2,,(ready cracked)
10,39,radish,25,grams,"(preserved salted, chopped)"
11,39,dried shrimp,1,Tbsp.,(small)
12,39,beansprouts,100,grams,
13,39,chinese chives,4,stalks,(chopped)
14,39,roasted peanuts,50,grams,(roughly chopped)
15,39,sugar,,,(optional)
16,39,lime wedges,,,(optional)
17,39,chilli flakes,,,(optional)
18,39,fish sauce,,,(optional)
0,40,scallions,1,bunch,
1,40,large eggs,4,,
2,40,salted peanuts,0.333333333,cup,(roasted)
3,40,pad thai noodles,8,oz.,(or stir-fry rice noodles)
4,40,tamarind concentrate,0.25,cup,(or 2 Tbsp. tamarind paste mixed with 2 Tbsp. water)
5,40,dark brown sugar,3,Tbsp.,
6,40,fish sauce,2,Tbsp.,
7,40,chili garlic sauce,2,tsp.,"(such as sambal oelek or Sriracha, plus more for serving)"
8,40,vegetable oil,3,Tbsp.,
9,40,mung bean sprouts,2,cups,
10,40,lime wedges,,,(for serving)
0,41,boneless pork loin,2,oz.,"(cut into 1/4-inch slices, then into 1 1/2-inch pieces)"
1,41,sugar,1,tsp.,
2,41,tamarind concentrate,2,Tbsp.,
3,41,soy sauce,2,Tbsp.,
4,41,Thai fish sauce,2,Tbsp.,
5,41,peanut oil,4,Tbsp.,(or safflower oil)
6,41,garlic cloves,3,,(minced)
7,41,pressed tofu,3,oz.,"(cut into 1/4-inch slices, then into 1 1/2-inch pieces)"
8,41,large eggs,3,,(lightly beaten)
9,41,coarse salt,,,
10,41,rice stick noodles,8,oz.,(dried)
11,41,bean sprouts,8,oz.,"(rinsed and drained, about 4 cups)"
12,41,scallions,3,,"(trimmed, flattened with the side of cleaver, and cut into 1 1/2-inch pieces)"
13,41,dried shrimp,1,Tbsp.,(chopped)
14,41,radish,1,Tbsp.,"(salted, optional)"
15,41,dry roasted peanuts,1,cup,(coarsely chopped)
16,41,fresh cilantro leaves,0.5,cup,
17,41,English cucumber,,,(thinly sliced)
18,41,lettuce leaves,,,
19,41,sugar,,,
20,41,lime wedges,,,
21,41,thai chile,,,"(vinegar sauce, for serving)"
22,41,cayenne pepper,,,
0,42,olive oil,2,Tbsp.,
1,42,chicken breasts,2,,(diced)
2,42,garlic,4,cloves,(minced)
3,42,low sodium soy sauce,3,Tbsp.,(or tamari)
4,42,sauce,0.5,cup,"(jarred pad thai, I like Thai Kitchen brand)"
5,42,water,1.5,cups,
6,42,rice noodles,0.5,pkg.,(thick)
7,42,carrot,1,cup,(matchsticks)
8,42,yellow pepper,0.5,,"(each red and, sliced)"
9,42,green onions,4,,(sliced)
10,42,peanuts,0.333333333,cup,(chopped)
11,42,chopped cilantro,0.333333333,cup,(fresh)
0,43,soy sauce,0.333333333,cup,
1,43,Sriracha,2,Tbsp.,
2,43,lime juice,0.25,cup,
3,43,canola oil,0.25,cup,
4,43,brown sugar,0.25,cup,
0,44,noodles,12.5,oz.,"(choice 350g, or gluten-free rice noodles)"
1,44,zucchini,1,,(spiralized into noodles)
2,44,carrots,2,,(spiralized into noodles)
3,44,red bell pepper,1,,(finely sliced)
4,44,scallion,0.5,bunch,"(sliced, or 1 onion)"
5,44,garlic cloves,4,,"(3-, minced)"
6,44,mushrooms,10.5,oz.,"(300g, sliced)"
7,44,firm tofu,7,oz.,"(200g, cut into cubes)"
8,44,turmeric,0.5,tsp.,(optional)
9,44,soy sauce,3,Tbsp.,"(2-, or tamari sauce)"
10,44,peanut oil,3,Tbsp.,"(2-, or other oil)"
11,44,chili flakes,1,tsp.,(or to taste)
12,44,creamy peanut butter,0.25,cup,(60ml)
13,44,coconut milk,0.25,cup,"(60ml, or other non-dairy milk)"
14,44,soy sauce,0.25,cup,"(or Tamari, 60ml)"
15,44,agave syrup,2,Tbsp.,"(1-, or other sweetener)"
16,44,fresh lime juice,,,"(squeeze of, optional)"
17,44,water,,,"(a bit of, only if needed)"
18,44,roasted peanuts,0.5,cup,(crushed)
19,44,fresh coriander,,,"(to garnish, optional)"
20,44,sesame,,,(to sprinkle)
0,45,tamarind paste,2,Tbsp.,"(or rice wine vinegar, see Recipe Note)"
1,45,fish sauce,2,Tbsp.,
2,45,palm sugar,2,Tbsp.,(or brown sugar)
3,45,water,4,Tbsp.,(to thin)
4,45,spaghetti squash,0.5,,"(medium, from a 3-pound squash)"
5,45,peanut oil,2.5,Tbsp.,
6,45,extra firm tofu,8,oz.,(diced)
7,45,cornstarch,2,Tbsp.,
8,45,yellow onion,0.5,,"(medium, thinly sliced)"
9,45,large eggs,2,,(whisked)
10,45,garlic,2,cloves,(minced)
11,45,scallions,4,,(cut into 1- to 2-inch pieces)
12,45,bean sprouts,0.5,cup,(plus more to serve)
13,45,peanuts,2,Tbsp.,"(chopped, to serve)"
14,45,lime wedges,,,(to serve)
15,45,cilantro,,,(to serve)
16,45,red pepper flakes,,,(to serve)
0,46,pad thai noodles,200,grams,(/sticks)
1,46,boneless chicken,100,grams,(cut into thin strips)
2,46,red bell pepper,1,,(cut into thin strips)
3,46,yellow pepper,1,,(cut into thin strips)
4,46,onion,1,,"(medium-size, thinly sliced)"
5,46,garlic cloves,4,,(fine chopped)
6,46,cooking oil,2,Tbsp.,
7,46,tamarind pulp,1,Tbsp.,(/paste)
8,46,hoisin sauce,1,Tbsp.,
9,46,brown sugar,2,Tbsp.,
10,46,soy sauce,0.5,tsp.,
11,46,fish sauce,0.5,tsp.,
12,46,chilli sauce,1,tsp.,
13,46,peanuts,2,Tbsp.,(roasted and crushed)
14,46,lemon,1,whole,
15,46,greens,1,Tbsp.,(chopped spring onion)
16,46,bean sprouts,1,Tbsp.,"(mung, moong)"
0,47,dried rice noodles,250,grams,
1,47,rapeseed oil,2,tsp.,
2,47,spring onions,6,,(chopped at an angle to 1cm pieces)
3,47,garlic,3,cloves,(crushed)
4,47,fresh ginger,3,cms,(grated)
5,47,Thai chili,1,,(finely sliced)
6,47,red pepper,1,,(finely chopped)
7,47,courgette,1,,(cut into sticks)
8,47,frozen broad beans,100,grams,
9,47,pak choi,100,grams,"(baby, leaves separated)"
10,47,beansprouts,200,grams,
11,47,pineapple,75,grams,"(canned, drained, chopped small)"
12,47,salt,1,Tbsp.,"(reduced-, gluten-free soy sauce)"
13,47,fresh lime,1,,
14,47,coriander,15,grams,(chopped)
15,47,unsalted peanuts,50,grams,(roughly chopped and toasted)
16,47,lime,1,,(cut into wedges&nbsp)
0,48,brown sugar,6,Tbsp.,
1,48,soy sauce,6,Tbsp.,
2,48,rice vinegar,3,Tbsp.,
3,48,chili garlic sauce,4,tsp.,(or sriracha sauce)
4,48,lime,1,,
5,48,rice noodles,12,oz.,(Thai)
6,48,chicken breasts,1.5,lb.,(sliced into thin stripes)
7,48,oil,1,Tbsp.,
8,48,eggs,3,,(beaten)
9,48,bean sprouts,2,cups,
10,48,red bell pepper,1,,(sliced thin)
11,48,matchstick carrots,1,cup,
12,48,green onions,2,,
13,48,garlic,2,cloves,
14,48,cilantro,,,
15,48,peanuts,,,
0,49,rice stick noodles,12,oz.,
1,49,chicken breast,1,lb.,(thinly sliced)
2,49,sauce,1,cup,"(homemade or store bought pad thai, see link in post for homemade)"
3,49,egg,1,,
4,49,chopped peanuts,0.25,cup,
5,49,green onions,0.25,cup,
6,49,canola oil,2,Tbsp.,
7,49,salt,0.25,tsp.,
8,49,garlic powder,0.25,tsp.,
9,49,lime,1,,
0,50,rice noodles,100,grams,
1,50,olive oil,1,tsp.,
2,50,garlic,2,cloves,(peeled and finely chopped)
3,50,chicken breast,200,grams,"(lean, sliced)"
4,50,red chilli,1,,"(small, finely chopped)"
5,50,vegetables,2,cups,"(your favourite, such as onion, shallots, green beans, carrot, capsicum, snow peas, bean sprouts, baby corn)"
6,50,egg,1,,"(and 1 additional egg white, lightly beaten)"
7,50,oyster sauce,2,tsp.,
8,50,fish sauce,2,tsp.,
9,50,limes,2,,(1 juiced and 1 quartered for serving.)
0,51,ramen noodles,2,pkg.,(Oriental or Chicken flavors work best)
1,51,vegetable oil,1.5,Tbsp.,
2,51,frozen mixed vegetables,12,oz.,
3,51,teriyaki sauce,0.25,cup,
4,51,hot water,2,Tbsp.,
5,51,creamy peanut butter,3,Tbsp.,
6,51,Sriracha,0.25,tsp.,(or any hot sauce)
0,52,water,1,cup,(plus more for soaking the noodles)
1,52,rice noodles,10,oz.,(or ramen-style noodles)
2,52,olive oil,2,Tbsp.,
3,52,garlic,2,cloves,
4,52,extra firm tofu,6,oz.,(drained and cut into chunks)
5,52,soy sauce,4,Tbsp.,
6,52,peanut butter,2,Tbsp.,
7,52,limes,2,,
8,52,sugar,3,Tbsp.,
9,52,Sriracha,,,(to taste)
10,52,sliced green onions,,,"(for garnish, optional)"
11,52,peanuts,,,"(Chopped, for garnish, optional)"
0,53,rice noodles,,,(or Linguine Pasta – 125 gms)
1,53,chicken breast,250,grams,
2,53,peanuts,2,Tbsp.,
3,53,lime peel,0.25,tsp.,
4,53,fish sauce,2,Tbsp.,
5,53,brown sugar,3,tsp.,
6,53,lime juice,3,tsp.,
7,53,rice vinegar,3,tsp.,
8,53,water,2,tsp.,
9,53,chilli sauce,2,tsp.,
10,53,garlic paste,0.5,tsp.,
11,53,oil,1.5,Tbsp.,
12,53,cloves,3,,(minced)
13,53,egg,1,,
14,53,spring onions,2,Tbsp.,
15,53,coriander leaves,,,"(– handful, chopped)"
16,53,bean sprouts,0.5,cup,
0,54,pad thai noodles,8,oz.,
1,54,red bell pepper,1,,
2,54,carrots,2,,
3,54,bean sprouts,1,cup,
4,54,green onions,3,,(chopped)
5,54,garlic,3,cloves,
6,54,oil,2,Tbsp.,(I used olive)
7,54,extra firm tofu,0.5,block,
8,54,garlic powder,0.25,tsp.,
9,54,turmeric,0.25,tsp.,
10,54,salt,0.5,tsp.,
11,54,low sodium soy sauce,3,Tbsp.,(/tamari)
12,54,light brown sugar,2,Tbsp.,
13,54,rice vinegar,1,Tbsp.,
14,54,lime juice,1,Tbsp.,
15,54,toasted sesame oil,2,tsp.,
16,54,hot sauce,1,Tbsp.,(more or less to taste)
17,54,creamy peanut butter,2,Tbsp.,(low or no salt)
0,55,brown rice noodles,5,oz.,
1,55,olive oil,2,Tbsp.,
2,55,chicken breasts,1,lb.,(pounded thinly and cut into 1 inch pieces)
3,55,red peppers,1,,(sliced into thin pieces)
4,55,carrots,2,cups,(sliced into thin pieces)
5,55,chopped onion,0.5,cup,
6,55,garlic,2,cloves,(minced)
7,55,bean sprouts,1,cup,
8,55,eggs,2,,
9,55,peanut butter,1,Tbsp.,
10,55,honey,2,Tbsp.,
11,55,lime juice,2,Tbsp.,
12,55,rice wine vinegar,1.5,Tbsp.,
13,55,fish sauce,0.25,cup,
14,55,coconut aminos,0.25,cup,(or low sodium soy sauce)
15,55,green onions,0.25,cup,(sliced thinly)
16,55,peanuts,0.333333333,cup,(crushed or chopped)
17,55,red pepper flakes,,,(optional)
18,55,lime wedges,,,(optional)
19,55,cilantro,,,(optional)
0,56,extra firm tofu,14,oz.,"(pressed and cut into 3/4-inch cubes, *see note)"
1,56,cornstarch,2,Tbsp.,
2,56,salt,0.25,tsp.,
3,56,grapeseed oil,1.5,Tbsp.,"(or any oil with high smoke point, more if needed)"
4,56,tamari sauce,0.25,cup,"(low sodium, GF if preferred Sub soy sauce)"
5,56,agave nectar,0.25,cup,(sub with maple syrup)
6,56,vegetable broth,3,Tbsp.,(low sodium)
7,56,rice vinegar,2,Tbsp.,
8,56,peanut butter,2,Tbsp.,(creamy)
9,56,Sriracha,1,Tbsp.,(more to taste)
10,56,pad thai noodles,8,oz.,
11,56,grapeseed oil,1,Tbsp.,(or any oil with high smoke point)
12,56,green onions,4,,"(thinly sliced, separate white and green parts)"
13,56,large carrots,2,,"(julienned, matchstick., about 1 cup)"
14,56,garlic,3,cloves,(minced or crushed)
15,56,mung bean sprouts,1,cup,
16,56,cilantro,0.5,cup,(chopped)
17,56,peanuts,0.333333333,cup,"(crushed or chopped, measured chopped)"
18,56,limes,2,,(cut into wedges)
0,57,rice noodles,0.5,,"(pack, approx 7 oz)"
1,57,tofu,0.5,block,(cut into small cubes)
2,57,vegetable oil,2,Tbsp.,
3,57,water,0.25,cup,
4,57,garlic clove,1,,(finely chopped)
5,57,garlic chives,1,handful,(can sub regular chives)
6,57,soy,2,Tbsp.,(suace)
7,57,coconut sugar,1,Tbsp.,"(can sub agave, maple syrup)"
8,57,lime,0.5,,
9,57,bean sprouts,1,cup,
10,57,green onion,1,,(chopped)
11,57,peanuts,,,
12,57,lime,,,
13,57,cilantro,,,
0,58,thin rice sticks,200,grams,(dry flat)
1,58,onion,1,,(chopped)
2,58,garlic,4,cloves,(crushed)
3,58,red chilli,0.5,,"(or more if you prefer of, chopped)"
4,58,lime,1,,
5,58,demerara sugar,0.25,cup,
6,58,fish sauce,2.5,Tbsp.,
7,58,cooking oil,5,Tbsp.,
8,58,garlic,3,cloves,"(crushed, 1 tbsp.)"
9,58,onion,1,,(thinly sliced)
10,58,chicken breast,1,,"(small, sliced thinly)"
11,58,eggs,3,,(lightly beaten)
12,58,spring onions,3,bunches,"(sliced diagonally, green and white parts separated)"
13,58,light soy sauce,1,tsp.,
14,58,prawns,20,,"(medium sized, peeled uncooked)"
15,58,bean sprouts,0.5,cup,
16,58,peanuts,0.25,cup,(chopped)
17,58,coriander leaves,,,
18,58,lime wedges,,,
0,59,noodles,8,oz.,"(we used pad thai noodles, but feel free to substitute them for another type)"
1,59,sesame oil,2,Tbsp.,
2,59,eggs,2,,
3,59,diced chicken breast,1,,
4,59,shallots,0.25,cup,
5,59,sauce,0.75,cup,"(pad thai, we used 1/8 cup each of fish sauce, rice vinegar, soy sauce, brown sugar, lime juice, and sriracha)"
6,59,beansprouts,1,cup,
7,59,peanuts,0.5,cup,(crushed)
8,59,green onions,0.25,cup,
9,59,cilantro,0.25,cup,
0,60,tofu,8,oz.,(chicken breast or peeled prawns)
1,60,salt,,,
2,60,pad thai noodles,4,oz.,
3,60,boiling water,,,
4,60,noodles,,,
5,60,peanut oil,2,Tbsp.,
6,60,shallot,1,,"(large, finely diced)"
7,60,garlic cloves,4,,(chopped)
8,60,ginger,1,tsp.,"(chopped, optional)"
9,60,eggs,2,,(whisked with a fork with a generous 3-finger pinch salt)
10,60,fish sauce,3,Tbsp.,(or vegan fish sauce)
11,60,sugar,3,Tbsp.,(or brown sugar)
12,60,rice vinegar,3,Tbsp.,
13,60,soy sauce,2,tsp.,(or Braggs)
14,60,chili flakes,,,
15,60,bean sprouts,,,
16,60,chili flakes,,,
17,60,scallions,,,
18,60,roasted peanuts,,,
19,60,lime,,,
0,61,rice noodles,8,oz.,(flat)
1,61,oil,3,Tbsp.,(divided)
2,61,garlic,3,cloves,(finely minced)
3,61,shrimp,8,oz.,"(uncooked, uncooked chicken, cut into bite-size pieces or extra firm tofu, cut into small cubes)"
4,61,eggs,2,,(beaten)
5,61,bean sprouts,1,cup,
6,61,red bell pepper,1,,(thinly sliced)
7,61,green onions,3,,(chopped)
8,61,peanuts,0.5,cup,(crushed)
9,61,limes,2,,(cut into wedges)
10,61,chopped fresh cilantro,0.5,cup,
11,61,fish sauce,3,Tbsp.,
12,61,light soy sauce,1,Tbsp.,
13,61,brown sugar,5,Tbsp.,
14,61,rice vinegar,2,Tbsp.,
15,61,Sriracha,1,Tbsp.,(or more to taste)
16,61,creamy peanut butter,2,Tbsp.,(optional)
0,62,extra firm tofu,14,oz.,
1,62,brown rice noodles,8,oz.,(or white)
2,62,rice paper wrappers,10,,"(brown or white, I love Banh Trang brand)"
3,62,sliced carrots,2,cups,(thinly)
4,62,fresh cilantro,1,handful,
5,62,tamarind concentrate,3,Tbsp.,(I love this brand)
6,62,tamari soy sauce,3,Tbsp.,(+ more for tofu)
7,62,coconut sugar,4,Tbsp.,"(or maple syrup, or sub brown sugar or honey if not vegan)"
8,62,lime,0.5,,"(juiced, ~1 Tbsp, 15 ml)"
9,62,garlic chili sauce,2,tsp.,(I love this brand + more for tofu)
10,62,peanut sauce,,,(/ Almond Sauce / Cashew Sauce)
11,62,Sriracha,,,
0,63,noodles,,,(& Veg)
1,63,zucchini,,,
2,63,butternut squash,,,
3,63,carrots,,,(julienne)
4,63,bean sprouts,,,
5,63,sauce,,,(Pad Thai)
6,63,soy sauce,0.25,cup,
7,63,maple syrup,0.25,cup,(or Coconut Sugar)
8,63,tomato paste,1,Tbsp.,
9,63,rice vinegar,2,Tbsp.,
10,63,lime juice,2,Tbsp.,
11,63,sesame oil,2,tsp.,
12,63,garlic,1,clove,
13,63,chili paste,1,tsp.,
14,63,nutritional yeast,2,Tbsp.,
15,63,peanuts,,,
16,63,sesame seeds,,,
0,64,rice noodles,1,box,(Pad Thai or other)
1,64,frozen vegetables,2,bags,"(I used Asian medley OR fresh, if you have time to prepare and steam them)"
2,64,wok oil,1,Tbsp.,
3,64,sesame oil,0.5,tsp.,(Pure)
4,64,chopped garlic,0.5,tsp.,(1 clove)
5,64,soy sauce,3,Tbsp.,(or gluten-free Tamari)
6,64,Sriracha,2,Tbsp.,(or to taste)
7,64,crushed pineapple,0.5,cup,(can also be tidbits – optional)
8,64,lime juice,0.5,tsp.,
9,64,ground ginger,1,dash,
0,65,extra firm tofu,1,lb.,"(sliced ½"" thick)"
1,65,peanut butter,1,Tbsp.,
2,65,soy sauce,3,Tbsp.,(or tamari for gluten-free version)
3,65,Sriracha,2,Tbsp.,"(1- ,or other hot sauce/paste)"
4,65,rice vinegar,2,Tbsp.,(plain)
5,65,toasted sesame oil,2,tsp.,
6,65,ginger,2,tsp.,(freshly grated)
7,65,brown rice noodles,8,oz.,(or rice noodles)
8,65,oil,2,tsp.,"(divided, I used coconut oil)"
9,65,red pepper,1,,(thinly sliced)
10,65,white onion,0.5,,(thinly sliced)
11,65,carrots,2,,(thinly sliced)
12,65,Thai chili,1,,(finely chopped)
13,65,peanuts,0.5,cup,(chopped)
14,65,cilantro,0.5,cup,(finely chopped)
15,65,soy sauce,3,Tbsp.,(or tamari for gluten-free version)
16,65,fresh lime juice,3,Tbsp.,
17,65,Sriracha,1,Tbsp.,"(or other spicy sauce, less if you don't want as much heat)"
18,65,brown sugar,3,Tbsp.,
19,65,vegetable broth,3,Tbsp.,
20,65,garlic chili paste,1,tsp.,
21,65,garlic cloves,2,,(minced)
0,66,rice noodles,8,oz.,"(dried, wide and flat, I found them in the Asian-foods section)"
1,66,brown sugar,2,Tbsp.,
2,66,fresh lime juice,2,Tbsp.,(about 1 lime)
3,66,soy sauce,3,Tbsp.,
4,66,squirt,1,,"(about 1/8 teaspoon Sriracha chili sauce, optional, you can find this in the Asian-foods section. You can add more if you like things super spicy)"
5,66,vegetable oil,2,tsp.,
6,66,green onions,3,,(white and green parts separated and thinly sliced)
7,66,garlic clove,1,,(minced)
8,66,large eggs,2,,(lightly beaten)
9,66,fresh cilantro,0.5,cup,
10,66,roasted salted peanuts,0.25,cup,(chopped)
0,67,extra firm tofu,14,oz.,"(cut into 1"" cubes)"
1,67,pad thai noodles,8,oz.,"(cooked according to package instructions, *see note)"
2,67,coconut oil,1.5,Tbsp.,(or olive oil)
3,67,red onion,0.5,cup,(diced)
4,67,garlic cloves,3,,(minced)
5,67,red bell pepper,0.5,cup,(sliced)
6,67,carrots,4,,"(peeled and cut julienne style. 2""- 3"" pieces)"
7,67,tomato paste,1,Tbsp.,
8,67,red pepper flakes,0.5,tsp.,(optional)
9,67,green onion,1.5,cups,"(cut into 1-2"" pieces)"
10,67,mung bean sprouts,1.5,cups,
11,67,tamarind paste,3,Tbsp.,
12,67,tamari sauce,0.25,cup,(low sodium & gluten-free)
13,67,coconut sugar,0.25,cup,(sub brown sugar)
14,67,vegetable broth,0.25,cup,(low sodium)
15,67,peanuts,,,(Crushed)
16,67,mung bean sprouts,,,
17,67,green onion,,,"(cut 1-2"" pieces)"
18,67,lime wedges,,,
19,67,crushed red pepper,,,
0,68,rice noodles,8,oz.,(flat)
1,68,oil,3,Tbsp.,
2,68,garlic,3,cloves,(minced)
3,68,shrimp,8,oz.,"(uncooked, chicken, or extra-firm tofu, cut into small pieces)"
4,68,eggs,2,,
5,68,bean sprouts,1,cup,(fresh)
6,68,red bell pepper,1,,(thinly sliced)
7,68,green onions,3,,(chopped)
8,68,dry roasted peanuts,0.5,cup,
9,68,limes,2,,
10,68,fresh cilantro,0.5,cup,(chopped)
11,68,fish sauce,3,Tbsp.,
12,68,low sodium soy sauce,1,Tbsp.,
13,68,light brown sugar,5,Tbsp.,
14,68,rice vinegar,2,Tbsp.,(* see note)
15,68,Sriracha hot sauce,1,Tbsp.,"(or more, to taste)"
16,68,creamy peanut butter,2,Tbsp.,(optional)
0,69,linguini,,,
1,69,chicken breasts,3,,(cut into bite sized pieces)
2,69,olive oil,2,tsp.,
3,69,broccoli,,,(chopped)
4,69,red pepper,0.5,,(diced)
5,69,carrots,,,(julienned)
6,69,chicken broth,0.25,cup,
7,69,lime,1,,"(juice, cut in half)"
8,69,brown sugar,3,Tbsp.,
9,69,rice vinegar,3,Tbsp.,
10,69,red pepper flakes,0.5,tsp.,
11,69,soy sauce,2,Tbsp.,
12,69,peanut butter,3,Tbsp.,
13,69,sesame oil,1,Tbsp.,
14,69,garlic cloves,3,,(minced)
15,69,garlic,2,tsp.,(minced)
16,69,eggs,2,,
17,69,peanuts,0.25,cup,(dry roasted unsalted)
0,70,rice noodles,14,oz.,
1,70,yellow bell pepper,1,,(thinly sliced)
2,70,shredded carrots,1,,
3,70,red cabbage,3,cups,(thinly sliced)
4,70,edamame,2,cups,
5,70,asparagus,6,spears,(chopped - you'll cook them with the rice noodles and soy beans)
6,70,liquid aminos,0.666666667,cup,(or soy sauce)
7,70,sesame oil,0.25,cup,
8,70,peanut butter,2,Tbsp.,
9,70,fresh ginger,1,tsp.,(peeled and grated )
10,70,sesame seeds,,,
11,70,chopped fresh cilantro,,,
12,70,soy sauce,,,
0,71,rice noodles,12,oz.,
1,71,peanut oil,0.25,cup,
2,71,sesame oil,0.25,cup,
3,71,red pepper flakes,2,tsp.,(to taste)
4,71,garlic cloves,3,,(finely minced)
5,71,low sodium chicken broth,0.25,,
6,71,gluten free soy sauce,0.25,cup,
7,71,honey,0.25,cup,
8,71,fish sauce,3,Tbsp.,
9,71,large eggs,2,,(beaten)
10,71,chicken,2,cups,"(Shredded, from about 2 breasts, I use a rotisserie chicken)"
11,71,shredded carrots,1.5,cups,
12,71,peanuts,0.5,cup,(chopped)
13,71,scallions,,,"(thinly sliced for garnish, optional)"
14,71,lime wedges,,,(for serving)
0,72,broccoli,2,cups,"(chopped, finely chopped)"
1,72,water,3,cups,(for soaking the noodles)
2,72,peanut oil,3,Tbsp.,
3,72,salt,0.25,tsp.,
4,72,soy sauce,4,Tbsp.,(split into 1 Tbsp and 3 Tbsp)
5,72,rice noodles,8,oz.,(Stir-fry)
6,72,Sriracha sauce,1,Tbsp.,
7,72,ginger,0.25,tsp.,(finely chopped)
8,72,peanut butter,0.5,tsp.,
9,72,brown sugar,2,tsp.,
10,72,water,0.75,cup,(For the sauce)
11,72,peanuts,0.25,cup,(unsalted)
0,73,rice noodles,10,oz.,(Thai)
1,73,boneless skinless chicken breasts,1,lb.,
2,73,vegetable oil,2,Tbsp.,
3,73,garlic,2,cloves,
4,73,brown sugar,0.25,cup,
5,73,large eggs,3,,
6,73,rice vinegar,2,Tbsp.,
7,73,fish sauce,4,Tbsp.,
8,73,green onions,3,,"(chopped, divided)"
9,73,carrots,2,,(sliced into thin strips)
10,73,red bell pepper,1,,(sliced into thin strips)
11,73,bean sprouts,1.5,cups,
12,73,peanuts,0.25,cup,(crushed)
13,73,lime,1,,
14,73,cilantro,0.333333333,cup,(chopped)
15,73,red pepper flakes,,,(optional)
16,73,lemon,1,,
17,73,cilantro,0.333333333,cup,(chopped)
0,74,ramen noodles,2,pkg.,
1,74,water,1.75,cups,
2,74,teriyaki sauce,0.25,cup,
3,74,vegetable oil,1,Tbsp.,
4,74,creamy peanut butter,1.5,Tbsp.,
5,74,oil,0.5,tsp.,(Fish)
6,74,hot sauce,0.5,tsp.,
7,74,garlic,1,Tbsp.,(Crush)
8,74,frozen stir fry vegetables,12,oz.,
0,75,rice noodles,4,oz.,(flat)
1,75,medium zucchini,1,,(spiralized)
2,75,large carrots,3,,(spiralized)
3,75,firm tofu,15,oz.,(cubed)
4,75,scallions,4,,"(thinly sliced, about 1 cup)"
5,75,bean sprouts,3,cups,(well rinsed)
6,75,sugar snap peas,1,cup,(trimmed and halved)
7,75,garlic,4,cloves,(crushed)
8,75,red chile,1,,(Thai)
9,75,canola oil,2,Tbsp.,(for frying)
10,75,liquid aminos,0.25,cup,(or soy sauce)
11,75,water,0.25,cup,
12,75,tomato paste,0.25,cup,
13,75,rice vinegar,2,Tbsp.,
14,75,agave,2,Tbsp.,(or other liquid sweetener)
15,75,crushed red pepper flakes,0.5,tsp.,
16,75,lime,1,,(cut into wedges)
17,75,chopped fresh cilantro,0.5,cup,
18,75,chopped almonds,4,Tbsp.,"(or peanuts, optional)"
0,76,peanut butter,0.25,cup,
1,76,water,0.25,cup,
2,76,soy sauce,3,Tbsp.,
3,76,brown sugar,2,Tbsp.,
4,76,garlic,2,,"(plump cloves, minced)"
5,76,Worcestershire sauce,1.5,tsp.,
6,76,lime,0.5,,
7,76,crushed red pepper,0.25,tsp.,
8,76,pad Thai rice noodles,8,oz.,
9,76,sesame oil,1,tsp.,(or canola oil)
10,76,pork,1,lb.,"(strips, pork stroganoff or I used sirloin chops and sliced into strips)"
11,76,canola oil,2,Tbsp.,
12,76,garlic,3,cloves,(minced)
13,76,bean sprouts,1,cup,
14,76,carrots,1,cup,(julienned)
15,76,red bell pepper,1,,(julienned)
16,76,green onion,0.25,cup,(sliced thin)
17,76,peanuts,0.25,cup,
18,76,cilantro,2,Tbsp.,
19,76,toasted sesame seeds,,,"(for garnish, optional)"
0,77,chicken breasts,18,oz.,
1,77,brown rice noodles,4,oz.,(flat)
2,77,garlic paste,3,Tbsp.,
3,77,red bell pepper,1,,
4,77,mushrooms,1,cup,(chopped)
5,77,green onions,1,cup,(chopped)
6,77,bean sprouts,1.5,cups,
7,77,fresh cilantro,,,
8,77,rice vinegar,0.25,cup,(or fish sauce)
9,77,coconut aminos,0.125,cup,(low sodium soy sauce)
10,77,pepper sauce,0.125,cup,(Red chili)
11,77,coconut sugar,2,Tbsp.,
12,77,lime,1,,
0,78,noodles,250,grams,
1,78,fish sauce,3,Tbsp.,(; or soy sauce)
2,78,sweet chili sauce,0.333333333,cup,(; or more to taste)
3,78,peanut butter creamy,2,tsp.,(or crunchy)
4,78,cooking oil,2,tsp.,
5,78,garlic,3,cloves,(; minced)
6,78,red chilies,1,,"(; seeds removed, optional)"
7,78,chicken breast,1,,
8,78,eggs,2,,(; lightly beaten)
9,78,bean sprouts,100,grams,"(;, optional)"
10,78,spring onions,2,,(; sliced)
11,78,coriander,0.5,cup,"(cilantro; chopped, optional)"
12,78,peanuts,0.5,cup,"(; chopped, optional, or use crunchy peanut butter)"
13,78,lime,1,,"(;, optional)"
0,79,prawns,200,grams,
1,79,coriander,,,
